ID;name;SMILES;Kd_1;dKd_1;DH_1;dDH_1;Kd_2;dKd_2;DH_2;dDH_2;TDS;dTDS;n;Ka_1;dKa_1;Ka_2;dKa_2;Ka;dKa;DH;dDH;DG;dDG
clip-g1;4-azaniumylbutylammonium;[NH3+]CCCC[NH3+];3.42e-05;3.29e-06;-6.03;0.26;2.96e-05;7.7e-06;-6.14;0.696;0.0;0.8;0.862;29239.76608187135;2812.831298519203;33783.78378378378;8788.349159970781;31000.0;9000.0;-6.1;0.8;-6.1;0.2
clip-g2;5-azaniumylpentylammonium;[NH3+]CCCCC[NH3+];7.49e-07;1.77e-08;-8.58;0.021;8.29e-07;4.08e-08;-8.95;0.053;-0.4;0.3;1.0005000000000002;1335113.4846461948;31550.745898848658;1206272.6176115803;59367.82002237933;1270000.0;80000.0;-8.8;0.3;-8.32;0.04
clip-g3;6-azaniumylhexylammonium;[NH3+]CCCCCC[NH3+];4.35e-08;3.39e-09;-10.8;0.044;4.13e-08;3.24e-09;-10.9;0.043;-0.8;0.3;0.9025;22988505.747126438;1791518.0340864053;24213075.06053269;1899524.5325938475;24000000.0;3000000.0;-10.9;0.3;-10.05;0.07
clip-g15;trimethyl-[6-(trimethylammonio)hexyl]ammonium;C[N+](C)(C)CCCCCC[N+](C)(C)C;1.83e-08;1e-09;-12.8;0.033;2e-08;8.74e-10;-12.7;0.028;-2.2;0.4;0.9685;54644808.743169405;2986055.1225775634;50000000.0;2184999.9999999995;52000000.0;4000000.0;-12.8;0.4;-10.52;0.05
clip-g12;hexyl(trimethyl)ammonium;CCCCCC[N+](C)(C)C;8.3e-07;2.33e-08;-8.54;0.027;8.27e-07;3.1e-08;-8.25;0.034;-0.1;0.3;0.9385;1204819.2771084337;33822.03512846567;1209189.8428053204;45326.34235425023;1210000.0;70000.0;-8.4;0.3;-8.29;0.03
clip-g5;8-azaniumyloctylammonium;[NH3+]CCCCCCCC[NH3+];7.07e-09;1.13e-09;-11.5;0.094;6.63e-09;8.99e-10;-11.3;0.07;-0.3;0.4;0.8935;141442715.70014146;22606827.261833075;150829562.59426847;20451851.70018814;150000000.0;30000000.0;-11.4;0.4;-11.1;0.1
clip-g16;10-azaniumyldecylammonium;[NH3+]CCCCCCCCCC[NH3+];3.55e-09;7.8e-10;-11.3;0.068;3.27e-09;8.48e-10;-11.2;0.072;0.3;0.4;0.8905000000000001;281690140.8450704;61892481.65046618;305810397.5535168;79304959.36556032;300000000.0;100000000.0;-11.2;0.4;-11.5;0.2
clip-g17;12-azaniumyldodecylammonium;[NH3+]CCCCCCCCCCCC[NH3+];1.97e-09;1.06e-09;-10.4;0.123;2.2e-09;5.76e-10;-10.4;0.064;1.4;0.5;0.9735;507614213.19796956;273132520.8070293;454545454.54545456;119008264.46280992;500000000.0;300000000.0;-10.4;0.3;-11.8;0.4
clip-g9;1-adamantylammonium;[NH3+]C1(C2)C[C@H]3C[C@@H]2C[C@@H](C1)C3;2.8e-06;1.13e-07;-4.83;0.036;2.79e-06;1.62e-07;-4.72;0.046;2.8;0.2;0.9495;357142.85714285716;14413.265306122452;358422.93906810036;20811.65452653486;360000.0;30000.0;-4.8;0.2;-7.57;0.05
clip-g6;1-adamantyl(trimethyl)ammonium;C[N+](C1(C2)C[C@H]3C[C@@H]2C[C@@H](C1)C3)(C)C;8.83e-08;9.44e-09;-10.1;0.119;9.7e-08;1.36e-08;-10.3;0.165;-0.6;0.4;0.831;11325028.31257078;1210739.1536882014;10309278.350515464;1445424.593474333;11000000.0;2000000.0;-10.2;0.4;-9.6;0.1
clip-g11;1-(1-adamantyl)ethanamine;NC(C)C1(C2)C[C@H]3C[C@@H]2C[C@@H](C1)C3;2.45e-07;2.23e-08;-7.41;0.084;2.38e-07;2.22e-08;-7.35;0.084;1.6;0.3;0.847;4081632.6530612246;371511.8700541442;4201680.672268908;391921.4744721419;4100000.0;600000.0;-7.4;0.3;-9.02;0.08
clip-g10;(9-azaniumyl-4-pentacyclo[7.3.1.1^{4,12}.0^{2,7}.0^{6,11}]tetradecanyl)ammonium;[NH3+]C1(C2)C[C@H]3[C@H](C4)[C@@H]2[C@@H]5CC4([NH3+])C[C@H]3[C@@H]5C1;9.02e-07;6.48e-08;-5.88;0.049;1.17e-06;7.26e-08;-5.8;0.047;2.3;0.2;0.99;1108647.4501108648;79645.62612769847;854700.8547008546;53035.283804514576;1000000.0;100000.0;-5.8;0.2;-8.17;0.08
clip-g8;[4-(azaniumylmethyl)phenyl]methylammonium;[NH3+]CC1=CC=C(C[NH3+])C=C1;1.14e-07;6.79e-09;-10.5;0.044;1.2e-07;5.34e-09;-10.6;0.033;-1.1;0.3;0.902;8771929.824561404;522468.45183133276;8333333.333333334;370833.33333333343;8500000.0;700000.0;-10.6;0.3;-9.45;0.05
clip-g18;1-methyl-4-(1-methylpyridin-1-ium-4-yl)pyridin-1-ium;C[N+]1=CC=C(C2=CC=[N+](C)C=C2)C=C1;1.72e-08;1.42e-09;-12.4;0.045;1.98e-08;2.34e-09;-12.3;0.069;-1.8;0.4;0.948;58139534.883720934;4799891.833423473;50505050.50505051;5968778.696051424;54000000.0;8000000.0;-12.4;0.4;-10.55;0.09
clip-g19;4-(1,1-dimethylpiperidin-1-ium-4-yl)-1,1-dimethyl-piperidin-1-ium;C[N+]1(C)CCC(C2CC[N+](C)(C)CC2)CC1;2.8e-09;1.53e-10;-13.7;0.039;2.74e-09;6.04e-10;-13.6;0.144;-2.0;0.5;0.7915;357142857.14285713;19515306.122448977;364963503.649635;80451808.83371517;360000000.0;80000000.0;-13.6;0.4;-11.7;0.1
clip-g7;(4-azaniumylcyclohexyl)ammonium;[NH3+][C@H]1CC[C@H]([NH3+])CC1;1.68e-05;6.52e-07;-6.61;0.088;1.72e-05;1.24e-06;-6.8;0.17;-0.2;0.3;0.826;59523.80952380953;2310.0907029478462;58139.534883720924;4191.454840454299;59000.0;5000.0;-6.7;0.3;-6.5;0.05
OA-g1;hexanoate;CCCCCC([O-])=O;;;;;;;;;-0.57;0.07;1;;;;;4400.0;200.0;-5.54;0.1;-4.97;0.02
OA-g2;4-chlorobenzoate;O=C([O-])C1=CC=C(Cl)C=C1;;;;;;;;;-2.6;0.2;1;;;;;116000.0;5000.0;-9.6;0.3;-6.91;0.02
OA-g3;(4~{S})-4-isopropenylcyclohexene-1-carboxylate;[O-]C(C1=CC[C@@H](C(C)=C)CC1)=O;;;;;;;;;-3.9;0.02;1;;;;;870000.0;40000.0;-12.0;0.02;-8.1;0.02
OA-g4;(3~{S})-3,7-dimethyloct-6-enoate;C/C(C)=C/CC[C@H](C)CC([O-])=O;;;;;;;;;0.1;0.1;1;;;;;91000.0;7000.0;-6.7;0.2;-6.76;0.05
OA-g5;2-[dimethyl(methyl)-$l^{4}-azanyl]ethylbenzene;C[N](C)([CH2+])CCC1=CC=CC=C1;;;;;;;;;-2.75;0.05;1;;;;;3000.0;100.0;-7.48;0.05;-4.73;0.02
OA-g6;hexyl(trimethyl)ammonium;CCCCCC[N+](C)(C)C;;;;;;;;;-2.3;0.3;1;;;;;4400.0;200.0;-7.3;0.3;-4.97;0.02
OA-g7;trimethyl-(4-methylcyclohexyl)ammonium;C[C@H]1CC[C@H]([N+](C)(C)C)CC1;;;;;;;;;0.3;0.1;1;;;;;28000.0;2000.0;-5.7;0.2;-6.07;0.05
OA-g8;1-adamantyl(trimethyl)ammonium;C[N+](C12C[C@@H]3C[C@H](C1)C[C@H](C2)C3)(C)C;;;;;;;;;0.4;0.1;1;;;;;1110000.0;40000.0;-7.8;0.2;-8.25;0.02
exoOA-g1;hexanoate;CCCCCC([O-])=O;;;;;;;;;ND;ND;1;;;;;ND;ND;ND;ND;ND;ND
exoOA-g2;4-chlorobenzoate;O=C([O-])C1=CC=C(Cl)C=C1;;;;;;;;;ND;ND;1;;;;;40.0;50.0;ND;ND;-2.2;0.7
exoOA-g3;(4~{S})-4-isopropenylcyclohexene-1-carboxylate;[O-]C(C1=CC[C@@H](C(C)=C)CC1)=O;;;;;;;;;-2.65;0.07;1;;;;;300.0;40.0;-6.0;0.1;-3.37;0.07
exoOA-g4;(3~{S})-3,7-dimethyloct-6-enoate;C/C(C)=C/CC[C@H](C)CC([O-])=O;;;;;;;;;-3.7;0.7;1;;;;;440.0;20.0;-7.3;0.7;-3.61;0.02
exoOA-g5;2-[dimethyl(methyl)-$l^{4}-azanyl]ethylbenzene;C[N](C)([CH2+])CCC1=CC=CC=C1;;;;;;;;;-0.6;0.02;1;;;;;12100.0;500.0;-6.17;0.02;-5.57;0.02
exoOA-g6;hexyl(trimethyl)ammonium;CCCCCC[N+](C)(C)C;;;;;;;;;2.58;0.02;1;;;;;18900.0;800.0;-3.25;0.02;-5.83;0.02
exoOA-g7;trimethyl-(4-methylcyclohexyl)ammonium;C[C@H]1CC[C@H]([N+](C)(C)C)CC1;;;;;;;;;2.01;0.05;1;;;;;130000.0;20000.0;-4.97;0.07;-6.98;0.1
exoOA-g8;1-adamantyl(trimethyl)ammonium;C[N+](C12C[C@@H]3C[C@H](C1)C[C@H](C2)C3)(C)C;;;;;;;;;2.63;0.02;1;;;;;420000.0;20000.0;-5.04;0.05;-7.67;0.02
bCD-g1;trans-4-methylcyclohexanol;C[C@H]1CC[C@H](O)CC1;;;-2.6051625239005736;0.10516252390057361;;;-2.5167304015296366;0.11233269598470362;2.0;0.2;0.875;2025.31;68.11;2098.64;66.95;2100.0;100.0;-2.6;0.2;-4.52;0.03
bCD-g2;R-rimantadine;[N+H3][C@H](C)C12CC3CC(C1)CC(C2)C3;;;-10.339388145315487;0.41826003824091773;;;-10.480401529636712;0.42065009560229444;-4.2;0.7;1.0;36491.91;1737.7;33572.61;1563.02;35000.0;3000.0;-10.4;0.7;-6.2;0.04
MGLab_8-g1;trans-4-methylcyclohexanol;C[C@H]1CC[C@H](O)CC1;;;-2.1940726577437855;0.3346080305927342;;;-1.4077437858508604;0.12428298279158699;1.5;0.4;0.89;244.18;13.89;286.54;14.93;260.0;20.0;-1.8;0.4;-3.3;0.05
MGLab_8-g2;R-rimantadine;[N+H3][C@H](C)C12CC3CC(C1)CC(C2)C3;;;-6.548757170172084;0.2820267686424474;;;-7.280114722753346;0.3513384321223709;-2.9;0.5;1.03;780.56;31.98;874.24;32.42;830.0;50.0;-6.9;0.5;-3.98;0.04
MGLab_9-g1;trans-4-methylcyclohexanol;C[C@H]1CC[C@H](O)CC1;;;-2.50717017208413;0.43021032504780116;;;-2.973231357552581;0.6333652007648183;0.4;0.8;0.875;221.08;12.72;203.13;10.87;210.0;20.0;-2.7;0.8;-3.17;0.05
MGLab_9-g2;R-rimantadine;[N+H3][C@H](C)C12CC3CC(C1)CC(C2)C3;;;-9.110898661567877;0.4134799235181644;;;-8.989005736137667;0.41826003824091773;-5.2;0.6;1.0;683.17;21.71;713.79;20.94;700.0;40.0;-9.0;0.6;-3.88;0.03
MGLab_19-g1;trans-4-methylcyclohexanol;C[C@H]1CC[C@H](O)CC1;;;-2.1916826003824093;0.1744741873804971;;;-1.9239961759082218;0.12428298279158699;1.1;0.2;0.8300000000000001;199.6;8.02;228.31;8.02;210.0;20.0;-2.1;0.2;-3.18;0.04
MGLab_19-g2;R-rimantadine;[N+H3][C@H](C)C12CC3CC(C1)CC(C2)C3;;;-11.36472275334608;0.8126195028680687;;;-11.61567877629063;0.657265774378585;-8.0;1.0;0.9400000000000001;315.83;17.83;318.33;9.41;320.0;20.0;-11.0;1.0;-3.41;0.04
MGLab_23-g1;trans-4-methylcyclohexanol;C[C@H]1CC[C@H](O)CC1;;;-2.361376673040153;0.40152963671128106;;;-3.1094646271510515;0.9990439770554492;0.0;1.0;0.755;236.64;11.99;210.2;10.99;220.0;20.0;-3.0;1.0;-3.2;0.05
MGLab_23-g2;R-rimantadine;[N+H3][C@H](C)C12CC3CC(C1)CC(C2)C3;;;-7.6696940726577445;0.32982791586998084;;;-7.538240917782026;0.3178776290630975;-3.3;0.5;0.9550000000000001;1427.7;56.95;1588.79;59.25;1510.0;90.0;-7.6;0.5;-4.33;0.04
MGLab_24-g1;trans-4-methylcyclohexanol;C[C@H]1CC[C@H](O)CC1;;;-1.854684512428298;0.10516252390057361;;;-1.4077437858508604;0.11233269598470362;1.7;0.2;0.915;276.83;13.59;286.54;14.95;280.0;20.0;-1.6;0.2;-3.34;0.05
MGLab_24-g2;R-rimantadine;[N+H3][C@H](C)C12CC3CC(C1)CC(C2)C3;;;-8.475143403441683;0.3632887189292543;;;-8.824091778202677;0.372848948374761;-4.5;0.6;1.03;1161.66;44.16;1038.92;35.79;1100.0;70.0;-8.6;0.6;-4.15;0.04
MGLab_34-g1;trans-4-methylcyclohexanol;C[C@H]1CC[C@H](O)CC1;;;-3.618546845124283;0.1768642447418738;;;-3.8193116634799233;0.17208413001912043;0.1;0.3;0.815;570.79;17.8;775.47;23.66;700.0;100.0;-3.7;0.3;-3.85;0.09
MGLab_34-g2;R-rimantadine;[N+H3][C@H](C)C12CC3CC(C1)CC(C2)C3;;;-10.437380497131931;0.37523900573613767;;;-7.292065009560229;0.2222753346080306;-3.0;2.0;0.995;19532.83;733.92;5690.03;192.09;11000.0;7000.0;-9.0;2.0;-5.5;0.4
MGLab_35-g1;trans-4-methylcyclohexanol;C[C@H]1CC[C@H](O)CC1;;;-4.2710325047801145;0.17208413001912043;;;-4.727533460803059;0.19837476099426385;0.1;0.3;0.85;2103.19;65.42;2442.72;73.46;2300.0;200.0;-4.5;0.3;-4.58;0.05
MGLab_35-g2;R-rimantadine;[N+H3][C@H](C)C12CC3CC(C1)CC(C2)C3;;;-7.550191204588909;0.3107074569789675;;;-7.017208413001912;0.30592734225621415;-1.2;0.5;0.78;27807.38;1045.27;25648.94;1023.43;27000.0;2000.0;-7.3;0.5;-6.04;0.04
MGLab_36-g1;trans-4-methylcyclohexanol;C[C@H]1CC[C@H](O)CC1;;;-3.238527724665392;0.2724665391969407;;;-2.7868068833652004;0.19359464627151052;0.1;0.3;0.8700000000000001;197.68;7.63;207.65;8.29;200.0;10.0;-3.0;0.3;-3.15;0.04
MGLab_36-g2;R-rimantadine;[N+H3][C@H](C)C12CC3CC(C1)CC(C2)C3;;;-10.831739961759082;0.884321223709369;;;-10.843690248565965;0.9392925430210325;-8.0;2.0;0.84;372.79;15.55;7.976190476190476;14.34;100.0;100.0;-11.0;1.0;-2.0;1.0
