ID,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound
MGLab_35-g1,0.9099550355191551,0.2759247773074606,3.1674086793107605,0.5988333333333334,0.23264486740033918,2.416476722727193,-0.32216666666666677,-2.005523719195938,1.0247674568796568
MGLab_34-g1,1.1233933712937185,0.6615687517577297,2.921369716418633,0.969,0.5626910588430404,2.541237271869096,0.6689999999999999,-1.0970559571717973,1.9901402117993732
MGLab_9-g1,1.2057310368955978,0.6596609887542096,3.01902363275651,1.063,0.534970760139054,2.602403495706422,1.063,-0.42365954255552013,2.4944285621988693
MGLab_34-g2,1.6806360403133094,0.4653002655034045,3.3834305081883427,1.0691666666666666,0.38186415755984876,2.967413041419448,-0.9958333333333332,-2.7577731733281965,0.7480847212295445
MGLab_24-g2,1.4997953193686127,0.9545918070614717,3.1582076936308465,1.262333333333333,0.7937780062480976,2.845994220551647,0.8609999999999998,-0.9196399207003915,2.507773119100328
MGLab_8-g1,1.6992194776818366,0.9033649922318979,3.280547614435686,1.453166666666667,0.7738633327165698,2.9950022924135857,0.13316666666666696,-1.683228801943442,2.166896867439863
MGLab_9-g2,1.6451016179352973,0.8411119010974741,3.4877290124094595,1.4743333333333333,0.6603720596087731,3.0082580115615283,0.45233333333333325,-1.3149711311270613,2.4091753233937947
MGLab_35-g2,1.8746032913659358,0.6968942210091829,3.7800352245273823,1.5758333333333334,0.5792581937491635,3.2816599502915818,-1.5758333333333334,-3.24633286336616,-0.030317440724923223
MGLab_23-g1,1.7869993471366088,1.207772548883392,3.268270953078682,1.5799999999999998,1.0253061553983294,3.0678805446959245,1.5799999999999998,-0.1225613112505491,2.9190730950816914
MGLab_24-g1,1.8963721505372657,1.290659917801758,3.4001167217295785,1.6736666666666669,1.0970268436266009,3.180870547511318,1.6736666666666669,-0.15917028353099547,3.0376204463846563
MGLab_19-g1,1.9005350562407417,1.1943593419742695,3.3113090886291974,1.7218333333333329,0.9823018535664287,3.115698832185878,1.7218333333333329,0.016185078628720612,3.041557245742353
MGLab_23-g2,1.8506087286800164,0.9613695825013828,3.9572786506087274,1.739,0.8265914702419015,3.396845028644343,1.3543333333333336,-0.25744279441799883,3.235636026007684
MGLab_8-g2,2.4888822457748643,0.6657770054237059,4.497799248835461,1.8661666666666665,0.5421457927485162,3.9319467367277277,1.6994999999999998,-0.20902123122786373,3.8399724308798917
clip-g3,2.6007837280327637,1.3235785120861043,4.340760517855035,2.1311428571428572,1.0311124916591907,3.8113259742456482,-0.9511428571428576,-2.931748458758649,1.3343748447535788
MGLab_36-g1,2.3437402088684376,1.5982997183494139,3.7883144063485283,2.1838333333333333,1.3359488950182596,3.60858562453958,2.1838333333333333,0.45359114106499815,3.565462681799089
MGLab_19-g2,2.6047144437218703,1.1360361565409354,4.375543572598919,2.2213333333333334,0.9833714659779854,3.950119730620591,2.2213333333333334,0.4803555188868443,3.924031393646157
clip-g2,3.5025282297220675,1.121538098422651,5.345805715978905,2.405142857142857,0.9342614231838434,4.7914936473824365,-1.730857142857143,-4.2740356482777,0.7806385961743081
MGLab_36-g2,2.667186064000785,1.600112405925803,4.584319778517097,2.563833333333333,1.3755198966749955,4.186078569864452,2.0361666666666665,0.0846572165293364,3.997429037656559
clip-g7,2.978277114613174,1.8717106739733238,4.437644317961979,2.6531428571428575,1.474654641275779,4.096421729151681,-2.0817142857142863,-3.7831579503810566,0.010183677726740305
clip-g12,3.3882541227009515,1.9396797745756886,4.973250066622878,2.8468571428571425,1.3938429480440422,4.6290167789326775,-1.8954285714285706,-4.282989188237084,0.4798706840936876
clip-g10,4.16579390478488,1.8008600789852514,6.293089304485464,3.0897142857142863,1.214578200999269,5.5724769841698265,-0.8325714285714285,-3.922622691686645,2.6951803220579893
clip-g19,4.70522366251443,1.3910940088414068,7.819184322646318,3.093428571428572,1.1278727600628748,6.286003929571278,-2.287714285714285,-5.850023334444974,0.5557825634769468
clip-g1,5.307297698183404,0.9914342748513792,7.982332750939834,3.267428571428571,0.8517579659838156,6.916329936297013,-3.067428571428571,-6.5370516698021515,0.13474609030864443
clip-g6,4.284721494533137,2.5616995604703887,6.03792042556835,3.507714285714285,1.9005682501617118,5.635588963212868,-3.507714285714285,-5.585266474599673,-1.1993975612244558
clip-g5,5.188928460812364,1.4564436286192524,7.700036314007052,3.664285714285714,1.2114009967772545,6.812078057791622,-3.2357142857142853,-6.519553414254676,-0.12452353569295559
clip-g8,4.171484456572812,2.322977551660057,5.849404880810223,3.6848571428571426,1.9349116012539826,5.514445094627779,-2.1134285714285705,-4.8049343276835,0.9309224980042102
clip-g15,5.094101042242039,1.8458453657458354,7.561757499151763,3.7248571428571426,1.5212235435505066,6.7432783198054205,-2.5305714285714282,-6.164943449291862,0.8150358465731172
exoOA-g2,4.88407854837191,3.294372191504756,6.6494971586450475,3.887133333333333,2.468644113114701,5.697459810134484,2.463133333333333,0.1751825120711402,4.765143137400593
exoOA-g4,4.785128357735036,3.14328704657523,6.5402794415824586,3.9513999999999996,2.5235096990860475,5.584939482151349,1.3527333333333336,-1.074612263853255,3.8042870532337543
clip-g11,4.401345719533645,2.749637020394503,6.301129690456674,3.993285714285714,2.358010257333293,5.784765219324532,-3.993285714285714,-5.78132231121034,-2.2805077703734673
clip-g9,4.27749172162512,3.03504688920316,5.59221024241382,3.999142857142857,2.5129771764208297,5.420549878969145,-3.533428571428572,-5.2883850136740875,-1.1229504698715196
exoOA-g8,5.859826709610675,3.211979700888051,8.26708769947637,4.179733333333334,2.2958966596196806,6.582402647217193,2.4815999999999994,-0.2161951615299521,5.379950431338167
OA-g8,5.986153606448802,3.1212360687265774,8.584262060733131,4.184333333333333,2.221662178905133,6.8285198431310565,1.6310000000000004,-1.317042878824003,4.802014240044292
clip-g17,5.155241327315061,2.659754340413877,7.281839018093287,4.284,2.168024134667272,6.764864318118518,-4.026857142857144,-6.652733942777855,-1.2481744825386178
exoOA-g5,5.636209417684904,3.9386463537806726,7.508701544939958,4.4851333333333345,2.8627736080661617,6.546487459714824,2.317533333333334,-0.5210555965583236,5.050305058243814
exoOA-g3,5.525403152712026,3.88243555264536,7.113015047983405,4.6,2.932817882886187,6.349185280155449,3.0373333333333337,0.47134779533563764,5.39647601280994
clip-g16,7.389076996292761,2.007518823912351,10.84669379796837,5.183142857142856,1.5830374265747227,9.464565777167255,-5.183142857142856,-9.429864158335846,-1.411958089831158
exoOA-g6,7.011839492363373,4.762175159640509,9.09591261462872,5.283599999999999,3.1734211890688924,7.841708084955572,4.2276,1.3882804216503843,7.154568883892059
OA-g7,7.118992349108591,4.415237277395559,9.729447556183683,5.5194,3.375447746898666,8.129241310466611,4.1874,1.1202080624477142,7.212917463242271
clip-g18,6.695970238029097,4.0347823880323705,8.818120558827044,5.6802857142857155,3.009236432190101,8.433351999820449,-4.160285714285715,-7.994989873176389,-0.020214587342514485
exoOA-g7,7.245917268825712,5.016572895381691,9.45331596175101,5.688933333333333,3.5655388150572764,8.25677620569893,3.9203999999999994,0.6974093145646535,7.140608095649401
