F11,BrC1=CC=NC2=NC=CC=C21
F13,BrC1=CN(CCO)N=C1
F14,BrC1=CN(CCOC)N=C1
F95,CC(=O)NCC=1C=CC(=CC1)S(=O)(=O)N
F96,CC(=O)NCC=1C=NNC1
F126,CC(C)C=1N=CC(Cl)=C(N1)C(=O)N
F179,CC(O)C=1C=NN(C1)C2CCCC2
F199,CC1=CC(=NO1)C(=O)NC=2C=NN(C)C2
F205,CC1=CC=C(N)C(=O)N1C
F217,CC1=NC=2C=CC=CC2N1CCC(=O)N
F229,CC1=NNC=C1CNC=2C=CC=CC2F
F274,CC=1C=C(CN2N=C(C)C=CC2=O)ON1
F275,CC=1C=C(F)C=C(C1)S(=O)(=O)N
F309,CC=1C=CSC1C(=O)O
F362,CCN(CC)C1=CC(C)=NC2=NC=NN12
F366,CCN1C=C(CCO)C=N1
F367,CCN1C=C(CNC(=O)C=2C=CC=NC2)C=N1
F368,CCN1C=C(NC(=O)C2CCC2)C=N1
F369,CCN1C=C(NC(=O)C2CCCC2)C=N1
F374,CCNC(=O)C1=CNN=N1
F389,CCOC(=O)C=1C=NNC1
F393,CCOC(=O)N1CCOCC1
F421,CN(C)C(=O)C=1C=NNC1
F467,CN(CCO)C=1C=CC=CN1
F488,CN1CCN(CC1)C(=O)COC=2C=CC(C)=CC2
F501,CN1N=NC=2CCC(CC21)C(=O)O
F503,CNC(=O)C1(CC=2C=CC=CC2F)CC1
F529,CNC=1C=CC=CC1S(=O)(=O)C
F535,CNCC1=NN=C2C=CC=CN12
F558,COC(=O)NC=1C=CC(CC=2C=CN=CC2)=CC1
F579,COC=1C=CC=2N=C(NC(=O)C3CC3)SC2C1
F584,COC=1C=CC=C2NC(=O)CCCC12
F600,COCC1=NN=C(N)S1
F603,CS(=O)(=O)CC1=NC=2C=CC=CC2N1
F616,CS(=O)(=O)NCCC=1C=CC(F)=CC1
F618,C[C@@H](CO)N(C)C=1N=CC=CC1F
F650,Cl.O=C(N1CCCC1)C=2C=NNC2
F666,FC=1C=CC(=CC1)N2CCN(CC2)C(=O)C3CC3
F687,FC=1C=CC=CC1NCC=2C=CNN2
F709,NC(=O)N1CCN(CC1)C(=O)C2=CC=CO2
F710,NC(=O)N1CCN(CC1)C=2C=CC(F)=CC2
F740,O=C(NC1CC1)C=2C=CC=3OCOC3C2
F741,O=C(NC1CC1)C=2C=NN3C=CC=NC23
F760,O=C1CC2=C(C=C(Br)C=C2)N1
F763,O=C1N(CCO)C=CC(Br)=C1