F178,CC(O)C(=O)NCC=1C=CC=CN1
F629,Cl.CC1CCN(CC1)C=2C=CC(N)=CC2Cl
F82,CC(=O)NC=1C=CC=C(C(=O)O)C1C
F92,CC(=O)NCC1=CN=CS1
F46,CC(=O)N1CC(C1)C(=O)O
F158,CC(C1CC1)N(C)C(=O)C2=CC(C)=NO2
F458,CN(CC(=O)O)C(=O)C=1C=CC(F)=CC1
F136,CC(C)N1C=C(N=N1)C(=O)O
F168,CC(N)CN1CCOCC1
F306,CC=1C=CC=CC1N2C=C(N=N2)C(=O)O
F64,CC(=O)NC(C1CCOCC1)C(=O)O
F12,BrC1=CN(CC(O)=O)N=C1
F642,Cl.Cl.C(C1CCCCN1)N2C=CN=N2
F23,C(N1CCNCC1)C2=CSC=N2
F564,COC=1C=C(C=C(OC)C1OC)C(=O)O
F776,OC(=O)COCC=1C=CC=CC1
F759,O=C1C=C(I)C=CN1
F772,OC(=O)C=1C=CC=CC1OC(F)(F)F
F632,Cl.CCOC=1C=CC=CC1N2CCNCC2
F536,CNCC1COC=2C=CC=CC2O1
F774,OC(=O)COC=1C=CC(Cl)=C(F)C1
F743,O=C(NC1CCCNC1)C=2C=CC=CC2
F643,Cl.Cl.CCN1N=CC=C1CNC
F726,O=C(CC#N)NC1CCCCC1
F769,OC(=O)C1=CC=NN1C2CCOCC2
F343,CCC1=NN=C(NC(=O)C(F)(F)F)S1
F54,CC(=O)N1CCCC(O)(C1)C(=O)O
F635,Cl.CN(C)CC1=CC=C(O1)C(=O)O
F172,CC(NC(=O)C1CCCC1)C(=O)O
F775,OC(=O)COC=1C=CC(F)=CC1
F104,CC(C)(C)N1CC(O)C1
F191,CC(OC=1C=CC=CC1F)C(=O)O
F61,CC(=O)N1C[C@H](O)C[C@@H]1C(=O)O
F186,CC(OC=1C=CC(=CC1)C=2C=CC=CC2)C(=O)O
F411,CN(C)C(=O)C1(CC1)C(=O)O
F646,Cl.NC(=O)C=1C=CC=2NCCC2C1
F228,CC1=NNC(C)=C1CNC2CCCCC2
F298,CC=1C=CC=C(C1)C(=O)NCC(=O)O
F665,FC=1C=C(Cl)C=NC1N2CCNC(=O)C2
F416,CN(C)C(=O)C=1C=CC(C(=O)O)=C(C)N1